candidate_id,job_role_applied,gender,nationality,education_level,university_tier,relevant_experience_years,skill_match_score,interview_score,Hiring Probability,Decision
8,Data Analyst,Male,Indian,Bachelor,Tier 1 (Top),17.49,0.847,80.4,0.42240773107224977,REJECT
12,Data Analyst,Non-binary/Other,European,Bachelor,Tier 1 (Top),7.76,0.622,78.5,0.1697650795680584,REJECT
26,Data Analyst,Female,Indian,Bachelor,Tier 2,7.1,0.966,83.5,0.636829249345955,SHORTLIST
32,Data Analyst,Male,Indian,Master,Tier 2,14.18,1.0,84.7,0.5952028805949388,SHORTLIST
44,Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),15.17,0.838,71.1,0.3260031019921524,REJECT
53,Data Analyst,Male,Indian,High School,Tier 2,8.92,0.572,80.7,0.049916308662064625,REJECT
57,Data Analyst,Female,Other,Bachelor,Tier 2,19.95,0.589,79.4,0.743527900287583,SHORTLIST
63,Data Analyst,Female,Other,Bachelor,Tier 1 (Top),11.41,0.884,78.5,0.6430501796813042,SHORTLIST
65,Data Analyst,Female,Indian,Bachelor,Tier 3,9.82,0.911,78.5,0.2016432042518246,REJECT
66,Data Analyst,Male,American,Master,Tier 3,20.68,0.99,98.0,0.7772464855792235,SHORTLIST
98,Data Analyst,Female,Other,High School,Tier 2,6.41,0.521,75.3,0.046342237479929216,REJECT
114,Data Analyst,Male,Indian,Bachelor,Tier 2,19.65,1.0,86.1,0.7287463425339986,SHORTLIST
134,Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),5.71,1.0,98.0,0.46285756812013323,REJECT
144,Data Analyst,Female,Indian,Bachelor,Tier 2,10.69,1.0,88.0,0.46770416486132027,REJECT
151,Data Analyst,Male,American,Master,Tier 2,11.33,0.434,85.7,0.2798626049497055,REJECT
153,Data Analyst,Male,Indian,Bachelor,Tier 2,6.85,0.733,93.9,0.5313974919039488,SHORTLIST
158,Data Analyst,Male,Indian,Master,Tier 2,11.09,1.0,92.3,0.7349731440127306,SHORTLIST
175,Data Analyst,Female,Indian,PhD,Tier 3,10.01,0.966,89.8,0.7673737294309053,SHORTLIST
176,Data Analyst,Male,American,Bachelor,Tier 2,17.52,0.636,86.2,0.5817153381856244,SHORTLIST
196,Data Analyst,Female,Indian,Master,Tier 1 (Top),13.91,1.0,98.0,0.8536798194482159,SHORTLIST
199,Data Analyst,Female,Asian (other),PhD,Tier 2,6.15,0.762,93.4,0.6644515788422933,SHORTLIST
219,Data Analyst,Male,European,Bachelor,Tier 2,9.26,0.85,91.5,0.4865333235521449,REJECT
221,Data Analyst,Male,American,PhD,Tier 2,7.62,0.941,66.5,0.24375415464926117,REJECT
230,Data Analyst,Male,Indian,Master,Tier 2,19.64,0.859,98.0,0.47369698605603233,REJECT
232,Data Analyst,Male,Indian,High School,Tier 3,5.05,0.837,79.1,0.16883022428425015,REJECT
242,Data Analyst,Female,European,Master,Tier 1 (Top),12.59,1.0,97.9,0.7751716711405683,SHORTLIST
245,Data Analyst,Female,American,Master,Unknown,7.97,0.895,76.9,0.30715080436131503,REJECT
246,Data Analyst,Female,Indian,Master,Tier 2,9.27,1.0,86.3,0.4680990299103118,REJECT
255,Data Analyst,Female,African,Bachelor,Tier 2,5.73,0.323,93.8,0.1246232917651931,REJECT
277,Data Analyst,Female,European,Bachelor,Tier 3,10.56,0.852,87.6,0.35526534494842066,REJECT
280,Data Analyst,Male,Indian,Master,Tier 1 (Top),5.31,1.0,87.1,0.38381759401084925,REJECT
285,Data Analyst,Male,Indian,Master,Tier 1 (Top),18.82,1.0,92.8,0.9126441257267939,SHORTLIST
307,Data Analyst,Male,Indian,Bachelor,Tier 3,13.17,0.57,89.0,0.19437516056358103,REJECT
316,Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),10.99,0.379,71.5,0.08555537184291367,REJECT
328,Data Analyst,Male,Indian,Master,Tier 1 (Top),10.88,0.733,98.0,0.6102639857512355,SHORTLIST
336,Data Analyst,Female,Indian,Bachelor,Tier 3,7.86,1.0,67.8,0.22826243374597088,REJECT
355,Data Analyst,Non-binary/Other,Indian,Master,Tier 3,6.89,0.88,54.0,0.0775452237376338,REJECT
357,Data Analyst,Female,Indian,Master,Tier 3,5.83,0.355,79.2,0.08653938210220659,REJECT
373,Data Analyst,Male,Indian,Bachelor,Tier 1 (Top),8.49,1.0,84.5,0.688499399625321,SHORTLIST
376,Data Analyst,Female,American,Master,Tier 2,11.85,1.0,86.9,0.4063288492646621,REJECT
381,Data Analyst,Male,Asian (other),Bachelor,Tier 2,12.24,0.956,77.5,0.40667031523617025,REJECT
401,Data Analyst,Male,American,Bachelor,Tier 3,11.58,0.704,65.7,0.09096322457030395,REJECT
410,Data Analyst,Female,American,Bachelor,Tier 3,5.86,0.536,97.2,0.43253756850426806,REJECT
420,Data Analyst,Male,Indian,Bachelor,Tier 2,8.37,0.925,70.7,0.19676748139690187,REJECT
421,Data Analyst,Male,Other,Bachelor,Unknown,7.27,0.439,90.3,0.5747683220754797,SHORTLIST
423,Data Analyst,Female,Indian,Bachelor,Tier 3,6.79,0.429,73.7,0.038927354933538424,REJECT
424,Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),8.93,0.725,96.1,0.4823161270974032,REJECT
444,Data Analyst,Female,European,Bachelor,Unknown,18.86,0.518,73.5,0.10602129057079634,REJECT
448,Data Analyst,Female,Other,High School,Tier 3,10.46,0.834,75.4,0.14977662902061184,REJECT
