job_role_applied,gender,nationality,education_level,university_tier,relevant_experience_years,skill_match_score,interview_score,Hiring Probability,Decision
Data Analyst,Male,Indian,Bachelor,Tier 1 (Top),17.49,0.847,80.4,0.42240773107224966,❌ REJECT
Data Analyst,Non-binary/Other,European,Bachelor,Tier 1 (Top),7.76,0.622,78.5,0.1697650795680584,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 2,7.1,0.966,83.5,0.636829249345955,✅ SHORTLIST
Data Analyst,Male,Indian,Master,Tier 2,14.18,1.0,84.7,0.5952028805949388,✅ SHORTLIST
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),15.17,0.838,71.1,0.3260031019921524,❌ REJECT
Data Analyst,Male,Indian,High School,Tier 2,8.92,0.572,80.7,0.049916308662064625,❌ REJECT
Data Analyst,Female,Other,Bachelor,Tier 2,19.95,0.589,79.4,0.743527900287583,✅ SHORTLIST
Data Analyst,Female,Other,Bachelor,Tier 1 (Top),11.41,0.884,78.5,0.6430501796813043,✅ SHORTLIST
Data Analyst,Female,Indian,Bachelor,Tier 3,9.82,0.911,78.5,0.2016432042518246,❌ REJECT
Data Analyst,Male,American,Master,Tier 3,20.68,0.99,98.0,0.7772464855792234,✅ SHORTLIST
Data Analyst,Male,Asian (other),Bachelor,Tier 2,4.99,0.298,87.8,0.07649734915671827,❌ REJECT
Data Analyst,Female,Other,High School,Tier 2,6.41,0.521,75.3,0.046342237479929216,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 2,19.65,1.0,86.1,0.7287463425339987,✅ SHORTLIST
Data Analyst,Female,Indian,Bachelor,Tier 1 (Top),5.71,1.0,98.0,0.46285756812013334,❌ REJECT
Data Analyst,Female,Indian,Bachelor,Tier 2,10.69,1.0,88.0,0.4677041648613202,❌ REJECT
Data Analyst,Male,American,Master,Tier 2,11.33,0.434,85.7,0.2798626049497055,❌ REJECT
Data Analyst,Male,Indian,Bachelor,Tier 2,6.85,0.733,93.9,0.5313974919039488,✅ SHORTLIST
Data Analyst,Male,Indian,Master,Tier 2,11.09,1.0,92.3,0.7349731440127304,✅ SHORTLIST
Data Analyst,Female,Indian,PhD,Tier 3,10.01,0.966,89.8,0.7673737294309052,✅ SHORTLIST
Data Analyst,Male,American,Bachelor,Tier 2,17.52,0.636,86.2,0.5817153381856244,✅ SHORTLIST
Data Analyst,Female,Indian,Master,Tier 1 (Top),13.91,1.0,98.0,0.8536798194482159,✅ SHORTLIST
