candidate_id,job_role_applied,gender,nationality,education_level,university_tier,relevant_experience_years,skill_match_score,interview_score,Hiring Probability,Decision
170,Cyber Security Analyst,Female,American,Bachelor,Tier 2,5.88,0.759,94.7,0.1997689992140608,REJECT
456,Cyber Security Analyst,Female,American,Bachelor,Tier 3,11.33,1.0,66.0,0.16979084026240288,REJECT
470,Cyber Security Analyst,Female,American,Bachelor,Tier 2,2.8,0.754,90.7,0.1749960832643912,REJECT
680,Cyber Security Analyst,Female,American,Master,Tier 3,16.09,1.0,75.9,0.5085605371940243,SHORTLIST
690,Cyber Security Analyst,Female,American,Master,Tier 3,7.68,0.674,98.0,0.5481574237393322,SHORTLIST
723,Cyber Security Analyst,Female,American,Bachelor,Tier 2,4.78,0.9,75.4,0.17169833189113481,REJECT
861,Cyber Security Analyst,Female,American,Master,Tier 2,4.15,0.31,65.6,0.07809968996190637,REJECT
919,Cyber Security Analyst,Female,American,Master,Tier 3,5.42,0.568,88.4,0.13446870589283938,REJECT
983,Cyber Security Analyst,Female,American,Master,Tier 3,2.8,0.633,83.2,0.5744670085550951,SHORTLIST
1074,Cyber Security Analyst,Female,American,Master,Tier 3,3.77,1.0,94.6,0.3005885804233968,REJECT
1178,Cyber Security Analyst,Female,American,Bachelor,Tier 2,7.44,0.727,94.9,0.24559929003223663,REJECT
1198,Cyber Security Analyst,Female,American,Master,Tier 3,20.93,1.0,98.0,0.8442497707749577,SHORTLIST
1232,Cyber Security Analyst,Female,American,Bachelor,Tier 3,5.27,0.762,47.6,0.13254453440521624,REJECT
1262,Cyber Security Analyst,Female,American,Master,Tier 3,17.28,1.0,79.1,0.7394974889698598,SHORTLIST
1590,Cyber Security Analyst,Female,American,Bachelor,Unknown,25.82,0.968,66.7,0.4247795382245101,REJECT
1621,Cyber Security Analyst,Female,American,Bachelor,Tier 2,5.21,0.533,92.4,0.08565653878727338,REJECT
1672,Cyber Security Analyst,Female,American,Master,Tier 2,7.39,1.0,80.7,0.6777268431579914,SHORTLIST
1920,Cyber Security Analyst,Female,American,Master,Tier 1 (Top),11.46,0.621,87.9,0.2237886568473533,REJECT
1925,Cyber Security Analyst,Female,American,PhD,Tier 2,11.07,0.834,92.9,0.35252130596074244,REJECT
2405,Cyber Security Analyst,Female,American,Bachelor,Tier 2,10.07,0.707,86.0,0.1914548101810063,REJECT
2425,Cyber Security Analyst,Female,American,PhD,Tier 3,14.01,1.0,68.9,0.2127817920109999,REJECT
2506,Cyber Security Analyst,Female,American,Master,Tier 1 (Top),3.85,0.892,94.8,0.6239266154086849,SHORTLIST
2568,Cyber Security Analyst,Female,American,Master,Tier 3,13.82,0.994,84.1,0.7642095182924615,SHORTLIST
2582,Cyber Security Analyst,Female,American,Master,Tier 2,8.15,0.882,84.2,0.4520983848057507,REJECT
2734,Cyber Security Analyst,Female,American,High School,Tier 3,18.82,1.0,65.6,0.2553821010334563,REJECT
2905,Cyber Security Analyst,Female,American,Bachelor,Tier 2,12.98,0.814,61.6,0.15543450865767813,REJECT
3047,Cyber Security Analyst,Female,American,Bachelor,Tier 2,18.68,0.668,73.9,0.1403743669185255,REJECT
3108,Cyber Security Analyst,Female,American,Master,Tier 3,8.16,0.601,73.9,0.09069919971972923,REJECT
3158,Cyber Security Analyst,Female,American,Master,Tier 2,12.24,0.77,98.0,0.6211234356528069,SHORTLIST
3451,Cyber Security Analyst,Female,American,Bachelor,Unknown,7.3,0.788,79.0,0.5512027050346946,SHORTLIST
3723,Cyber Security Analyst,Female,American,Bachelor,Unknown,14.83,0.528,83.9,0.18795761950868606,REJECT
3727,Cyber Security Analyst,Female,American,Bachelor,Tier 3,14.47,0.639,92.8,0.558902490001262,SHORTLIST
3816,Cyber Security Analyst,Female,American,Bachelor,Tier 2,5.33,0.586,78.0,0.034557157402769136,REJECT
3939,Cyber Security Analyst,Female,American,Master,Tier 1 (Top),16.18,0.957,80.8,0.4028333462662214,REJECT
4187,Cyber Security Analyst,Female,American,Bachelor,Tier 3,6.0,0.844,89.6,0.2928105922663738,REJECT
4291,Cyber Security Analyst,Female,American,Bachelor,Tier 3,14.56,1.0,66.0,0.26370889327578534,REJECT
4638,Cyber Security Analyst,Female,American,Bachelor,Tier 3,4.44,0.71,78.3,0.10448323529033601,REJECT
4917,Cyber Security Analyst,Female,American,PhD,Tier 3,9.59,1.0,98.0,0.8183115013941574,SHORTLIST
5115,Cyber Security Analyst,Female,American,Bachelor,Tier 2,8.05,0.89,73.1,0.28926163836596136,REJECT
5189,Cyber Security Analyst,Female,American,Bachelor,Tier 3,4.25,0.844,67.2,0.13229423733522575,REJECT
5303,Cyber Security Analyst,Female,American,Master,Tier 3,9.62,0.65,72.7,0.19204473793701674,REJECT
5353,Cyber Security Analyst,Female,American,Master,Tier 2,14.77,1.0,78.7,0.7801436390929419,SHORTLIST
5365,Cyber Security Analyst,Female,American,Bachelor,Tier 2,6.77,0.946,97.6,0.4522305887713553,REJECT
5496,Cyber Security Analyst,Female,American,Master,Tier 3,9.82,0.898,72.6,0.26067059914106205,REJECT
5637,Cyber Security Analyst,Female,American,Bachelor,Tier 2,17.42,1.0,90.0,0.698170282330547,SHORTLIST
5717,Cyber Security Analyst,Female,American,Bachelor,Tier 1 (Top),13.56,0.518,62.6,0.07514500248029714,REJECT
5761,Cyber Security Analyst,Female,American,Master,Tier 1 (Top),11.42,0.599,93.2,0.22197233657710796,REJECT
5822,Cyber Security Analyst,Female,American,Bachelor,Tier 2,8.22,0.573,84.6,0.1342899231459273,REJECT
5884,Cyber Security Analyst,Female,American,High School,Unknown,5.55,0.998,78.5,0.36938071273430606,REJECT
6093,Cyber Security Analyst,Female,American,Master,Tier 2,6.84,0.849,74.2,0.18380013513814034,REJECT
6264,Cyber Security Analyst,Female,American,Master,Tier 3,5.71,0.731,70.3,0.07989348921184149,REJECT
6266,Cyber Security Analyst,Female,American,Master,Tier 2,10.71,1.0,98.0,0.8513373558276561,SHORTLIST
6278,Cyber Security Analyst,Female,American,Master,Tier 3,13.85,0.772,91.8,0.7174322118704762,SHORTLIST
6316,Cyber Security Analyst,Female,American,Master,Tier 2,7.68,0.423,98.0,0.15515660173959858,REJECT
