age,gender,nationality,education_level,field_of_study,university_tier,years_of_experience,relevant_experience_years,current_salary,num_previous_jobs,skill_match_score,num_certifications,has_leadership_experience,interview_score,distance_from_office,job_role_applied,application_source,hired
35,1,5,0,4,2,16.56,16.71,185910.37,1,1.0,4,1,98.0,76.44,0,0,1
30,0,3,0,2,1,11.26,13.03,154348.65,6,0.335,2,0,91.1,42.22,1,2,0
37,1,1,0,3,1,16.96,14.77,210248.53,4,1.0,0,0,89.5,24.73,7,2,1
44,0,4,0,1,2,10.08,10.19,95920.55,1,0.854,0,0,63.8,59.04,3,0,0
30,1,0,0,2,3,14.43,14.63,96591.59,3,0.925,2,0,98.0,87.16,1,2,0
30,1,4,2,2,2,13.75,12.62,112869.48,4,1.0,0,0,64.4,47.6,3,1,0
44,0,4,2,2,2,15.36,15.85,191797.55,2,0.685,3,0,98.0,52.05,1,4,0
38,1,4,0,3,0,16.49,17.49,152951.14,3,0.847,1,0,80.4,77.32,2,4,1
28,1,4,2,2,0,14.79,16.17,157543.01,1,0.805,3,0,74.5,85.5,0,2,0
36,1,5,2,3,2,7.05,6.24,220000.0,4,0.83,1,1,92.5,56.27,3,3,0
28,1,3,1,1,1,5.1,5.94,89381.73,5,0.834,4,1,70.9,112.97,1,3,0
28,2,3,0,3,0,10.07,7.76,180183.9,6,0.622,2,1,78.5,57.63,2,1,0
33,0,5,0,2,2,12.4,11.77,109400.76,4,1.0,1,0,83.1,26.01,9,1,1
21,1,4,0,3,1,6.62,4.94,75312.76,3,0.988,0,0,85.7,70.63,9,3,0
21,0,4,0,4,2,4.49,4.3,87153.39,5,0.72,1,0,77.0,62.34,9,2,0
27,1,3,3,2,1,6.9,5.19,158972.11,2,1.0,3,1,70.0,120.79,9,2,0
23,0,1,0,2,0,6.28,8.51,100869.63,2,0.633,3,0,71.2,139.65,0,2,0
34,0,1,2,2,2,16.59,15.09,122999.43,3,0.709,1,1,81.2,70.89,5,0,0
24,0,4,0,2,2,6.27,6.29,92995.37,2,0.909,1,0,85.8,117.3,5,1,0
21,1,1,0,3,0,2.56,1.98,125195.9,5,0.657,4,1,86.8,77.27,7,2,0
43,1,4,2,4,2,20.92,21.63,157008.31,6,1.0,2,0,91.5,27.93,1,0,1
30,1,4,0,1,1,7.35,9.35,123996.93,2,0.993,0,0,98.0,93.17,3,0,0
32,0,4,2,3,1,5.24,3.25,132285.7,3,0.865,0,0,73.1,73.66,9,4,1
21,1,4,1,3,1,7.59,7.06,85392.65,7,0.403,0,1,67.1,24.87,9,4,0
