candidate_id,age,age_group,gender,nationality,education_level,field_of_study,university_tier,years_of_experience,relevant_experience_years,current_salary,num_previous_jobs,skill_match_score,num_certifications,has_leadership_experience,interview_score,distance_from_office,job_role_applied,application_source,hired
1,35,30-40,Male,Other,Bachelor,Other,Tier 3,16.56,16.71,185910.37,1,1.0,4,1,98.0,76.44,Cloud Architect,Company Website,1
2,30,30-40,Female,European,Bachelor,Computer Science,Tier 2,11.26,13.03,154348.65,6,0.335,2,0,91.1,42.22,Cyber Security Analyst,LinkedIn,0
3,37,30-40,Male,American,Bachelor,Engineering,Tier 2,16.96,14.77,210248.53,4,1.0,0,0,89.5,24.73,Network Administrator,LinkedIn,1
4,44,Over 40,Female,Indian,Bachelor,Business,Tier 3,10.08,10.19,95920.55,1,0.854,0,0,63.8,59.04,Data Scientist,Company Website,0
5,30,30-40,Male,African,Bachelor,Computer Science,Unknown,14.43,14.63,96591.59,3,0.925,2,0,98.0,87.16,Cyber Security Analyst,LinkedIn,0
6,30,30-40,Male,Indian,Master,Computer Science,Tier 3,13.75,12.62,112869.48,4,1.0,0,0,64.4,47.6,Data Scientist,Job Portal,0
7,44,Over 40,Female,Indian,Master,Computer Science,Tier 3,15.36,15.85,191797.55,2,0.685,3,0,98.0,52.05,Cyber Security Analyst,Referral,0
8,38,30-40,Male,Indian,Bachelor,Engineering,Tier 1 (Top),16.49,17.49,152951.14,3,0.847,1,0,80.4,77.32,Data Analyst,Referral,1
9,28,Under 30,Male,Indian,Master,Computer Science,Tier 1 (Top),14.79,16.17,157543.01,1,0.805,3,0,74.5,85.5,Cloud Architect,LinkedIn,0
10,36,30-40,Male,Other,Master,Engineering,Tier 3,7.05,6.24,220000.0,4,0.83,1,1,92.5,56.27,Data Scientist,Other,0
11,28,Under 30,Male,European,High School,Business,Tier 2,5.1,5.94,89381.73,5,0.834,4,1,70.9,112.97,Cyber Security Analyst,Other,0
12,28,Under 30,Non-binary/Other,European,Bachelor,Engineering,Tier 1 (Top),10.07,7.76,180183.9,6,0.622,2,1,78.5,57.63,Data Analyst,Job Portal,0
13,33,30-40,Female,Other,Bachelor,Computer Science,Tier 3,12.4,11.77,109400.76,4,1.0,1,0,83.1,26.01,Software Engineer,Job Portal,1
14,21,Under 30,Male,Indian,Bachelor,Engineering,Tier 2,6.62,4.94,75312.76,3,0.988,0,0,85.7,70.63,Software Engineer,Other,0
15,21,Under 30,Female,Indian,Bachelor,Other,Tier 3,4.49,4.3,87153.39,5,0.72,1,0,77.0,62.34,Software Engineer,LinkedIn,0
16,27,Under 30,Male,European,PhD,Computer Science,Tier 2,6.9,5.19,158972.11,2,1.0,3,1,70.0,120.79,Software Engineer,LinkedIn,0
17,23,Under 30,Female,American,Bachelor,Computer Science,Tier 1 (Top),6.28,8.51,100869.63,2,0.633,3,0,71.2,139.65,Cloud Architect,LinkedIn,0
18,34,30-40,Female,American,Master,Computer Science,Tier 3,16.59,15.09,122999.43,3,0.709,1,1,81.2,70.89,HR Specialist,Company Website,0
19,24,Under 30,Female,Indian,Bachelor,Computer Science,Tier 3,6.27,6.29,92995.37,2,0.909,1,0,85.8,117.3,HR Specialist,Job Portal,0
20,21,Under 30,Male,American,Bachelor,Engineering,Tier 1 (Top),2.56,1.98,125195.9,5,0.657,4,1,86.8,77.27,Network Administrator,LinkedIn,0
21,43,Over 40,Male,Indian,Master,Other,Tier 3,20.92,21.63,157008.31,6,1.0,2,0,91.5,27.93,Cyber Security Analyst,Company Website,1
22,30,30-40,Male,Indian,Bachelor,Business,Tier 2,7.35,9.35,123996.93,2,0.993,0,0,98.0,93.17,Data Scientist,Company Website,0
23,32,30-40,Female,Indian,Master,Engineering,Tier 2,5.24,3.25,132285.7,3,0.865,0,0,73.1,73.66,Software Engineer,Referral,1
24,21,Under 30,Male,Indian,High School,Engineering,Tier 2,7.59,7.06,85392.65,7,0.403,0,1,67.1,24.87,Software Engineer,Referral,0
25,27,Under 30,Male,Indian,Master,Computer Science,Tier 2,6.45,4.34,110273.1,2,0.894,1,0,74.6,169.84,Marketing Specialist,Company Website,0
26,32,30-40,Female,Indian,Bachelor,Computer Science,Tier 2,7.86,7.1,115881.07,6,0.966,3,1,83.5,32.77,Data Analyst,LinkedIn,1
27,22,Under 30,Male,Other,Bachelor,Arts/Humanities,Tier 3,10.84,12.44,152124.88,7,1.0,3,0,83.5,110.74,Cyber Security Analyst,Job Portal,0
28,35,30-40,Male,Other,Master,Engineering,Tier 3,13.59,17.09,167255.44,3,1.0,6,1,74.4,17.73,Cloud Architect,LinkedIn,1
29,27,Under 30,Male,European,Master,Computer Science,Tier 3,7.93,6.8,128692.3,1,1.0,1,1,90.6,53.37,Software Engineer,LinkedIn,1
30,29,Under 30,Male,Other,High School,Engineering,Tier 3,6.16,3.94,79514.8,5,0.165,1,0,54.5,123.97,Network Administrator,Job Portal,0
31,27,Under 30,Male,Other,PhD,Engineering,Unknown,2.18,1.79,83297.57,1,0.568,0,0,76.7,84.48,Software Engineer,Referral,0
32,46,Over 40,Male,Indian,Master,Arts/Humanities,Tier 2,13.46,14.18,195619.4,1,1.0,1,0,84.7,82.46,Data Analyst,Job Portal,0
33,31,30-40,Male,American,Bachelor,Engineering,Tier 2,8.66,8.33,94352.6,10,0.859,5,0,74.3,123.07,Cyber Security Analyst,LinkedIn,0
34,23,Under 30,Male,Other,Bachelor,Arts/Humanities,Tier 2,11.87,10.64,117361.54,2,1.0,0,1,74.7,48.62,Data Scientist,LinkedIn,1
35,38,30-40,Female,European,Bachelor,Business,Tier 2,5.28,4.11,80054.03,3,0.26,1,1,98.0,124.8,Network Administrator,Company Website,0
